               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.038866,             0.10235,          0.00024823,             0.96746,             0.97373,             0.96056,             0.38184,            0.037414,            0.031105,          0.00019235,            0.004258,            0.004258,            0.004258
                 118,            0.038787,             0.10342,          0.00024526,             0.96756,             0.97415,             0.96272,             0.38186,            0.037014,            0.031102,          0.00019508,           0.0042085,           0.0042085,           0.0042085
                 119,            0.038231,            0.096736,          0.00024335,             0.96826,             0.97282,             0.96108,             0.37415,            0.037791,            0.031064,          0.00018415,            0.004159,            0.004159,            0.004159
                 120,            0.038822,             0.10393,          0.00024953,             0.96712,             0.97166,             0.95811,             0.37235,            0.037574,            0.031065,          0.00018894,           0.0041095,           0.0041095,           0.0041095
                 121,            0.037285,            0.096984,          0.00025567,             0.97248,             0.97587,              0.9633,             0.38894,            0.036703,             0.03116,          0.00018726,             0.00406,             0.00406,             0.00406
                 122,            0.038334,             0.10409,          0.00024809,             0.97858,             0.98133,             0.97233,             0.40175,            0.036375,            0.031222,          0.00019159,           0.0040105,           0.0040105,           0.0040105
                 123,            0.038395,             0.10276,          0.00024996,             0.97367,             0.97932,             0.96935,             0.39908,            0.036133,            0.031007,          0.00018325,            0.003961,            0.003961,            0.003961
                 124,            0.037352,             0.10002,          0.00023348,              0.9712,             0.97874,             0.96819,             0.39903,            0.035714,            0.030875,          0.00017925,           0.0039115,           0.0039115,           0.0039115
                 125,            0.037719,            0.095649,           0.0002641,             0.97543,             0.98092,             0.96965,             0.41724,             0.03475,            0.030721,          0.00016899,            0.003862,            0.003862,            0.003862
                 126,            0.038593,             0.10177,          0.00021146,             0.97117,             0.97673,             0.96525,             0.38807,            0.036144,            0.030879,          0.00017261,           0.0038125,           0.0038125,           0.0038125
                 127,            0.039242,             0.10179,          0.00024172,              0.9789,             0.98161,             0.97122,              0.4115,            0.035362,             0.03096,          0.00017315,            0.003763,            0.003763,            0.003763
                 128,            0.037541,            0.098064,          0.00021939,             0.97132,             0.97501,             0.96343,              0.3824,            0.036811,            0.031198,          0.00017264,           0.0037135,           0.0037135,           0.0037135
                 129,            0.038054,            0.099098,          0.00022496,             0.97205,             0.97644,             0.96594,             0.39574,            0.036351,            0.030957,          0.00017293,            0.003664,            0.003664,            0.003664
                 130,            0.037535,             0.10281,          0.00021528,             0.96259,             0.96842,             0.95401,             0.36455,            0.038516,            0.031591,          0.00017376,           0.0036145,           0.0036145,           0.0036145
                 131,            0.039045,             0.10576,           0.0002079,             0.96838,              0.9707,              0.9593,             0.38847,            0.036982,            0.031389,          0.00017244,            0.003565,            0.003565,            0.003565
                 132,              0.0375,             0.10161,          0.00022528,             0.97601,             0.97989,             0.96934,             0.40192,            0.036203,            0.030957,          0.00016016,           0.0035155,           0.0035155,           0.0035155
                 133,            0.038126,             0.10178,          0.00020432,              0.9652,             0.97012,             0.95677,             0.36827,            0.037626,            0.031347,          0.00016857,            0.003466,            0.003466,            0.003466
                 134,            0.038605,             0.10031,          0.00019421,             0.97056,             0.97501,             0.96307,              0.3691,            0.037918,            0.031334,          0.00016685,           0.0034165,           0.0034165,           0.0034165
                 135,             0.03836,             0.10088,          0.00021711,             0.97575,             0.98075,             0.97119,             0.40412,            0.035959,            0.030877,          0.00016134,            0.003367,            0.003367,            0.003367
                 136,             0.03756,            0.096031,          0.00021568,             0.97344,              0.9791,             0.96822,             0.41154,            0.035662,            0.030973,          0.00015989,           0.0033175,           0.0033175,           0.0033175
                 137,            0.038872,              0.1062,          0.00021096,             0.97597,             0.98018,             0.96989,             0.41224,            0.035856,            0.030845,          0.00015899,            0.003268,            0.003268,            0.003268
                 138,            0.037252,            0.098777,          0.00018648,             0.97538,             0.97845,             0.96913,             0.40315,            0.036059,            0.030991,          0.00015628,           0.0032185,           0.0032185,           0.0032185
                 139,             0.03828,              0.1007,          0.00019877,             0.97506,             0.97726,              0.9686,              0.3963,             0.03624,            0.031195,          0.00016116,            0.003169,            0.003169,            0.003169
                 140,            0.038668,             0.10744,          0.00019911,             0.97651,             0.97929,             0.96963,             0.40275,            0.035581,            0.031006,          0.00016355,           0.0031195,           0.0031195,           0.0031195
                 141,            0.038238,             0.10577,          0.00020076,             0.97368,             0.97771,             0.96851,             0.38413,            0.036511,            0.031007,          0.00015834,             0.00307,             0.00307,             0.00307
                 142,            0.038386,             0.10502,          0.00018931,             0.98111,             0.98474,             0.97935,             0.41532,            0.035409,            0.030753,          0.00015744,           0.0030205,           0.0030205,           0.0030205
                 143,            0.037903,             0.10108,           0.0001843,             0.97839,             0.98018,             0.97356,              0.4083,            0.035676,            0.030755,          0.00014749,            0.002971,            0.002971,            0.002971
